,fecha,idPuntoMuestreo,Temperatura C°,Potencial de Hidrogeno,Oxigeno Disuelto,Conductividad,Turbiedad,Alcalinidad total,Cloralos totales,Dureza Total,Floruros,Nitrogeno de Nitratos,Nitrogeno de NUtritos,Nitrogeno Amoniacal,Nitrogeno Total,14.0,Sustancias Activas de Azul metileno,Demanda Bioquimica de oxigeno,Demanda Química de oxígeno,Grasas y aceites,Fosforo Total,Solidos suspendidos totales,Solidos Disueltos,Solidos sedimentales,Sulfuros,Aluminio,Arsenico,Bario,Cadmio,Cobre,Cromo,Fierro,Magnesio,Mercurio,Niquel,Plomo,Sodio,Zinc,Coliformes fecales,Coliformes totales,39.0,Temperatura ambiente C°,Acidez Total,Dureza del calcio,Solidos totales,Nitrogeno total
0,2009-02-10,1.0,20.0,7.94,4.85,,,,,,,0.43,0.022,,0.56,,,6.5,52.1,12.78,0.48,32.0,517.0,0.1,,2.249,0.0134,,1.095,0.104,0.141,2.142,0.069,,,0.0115,60.7,0.072,2800.0,2000.0,0.0,,,,549.0,1.012
1,2009-02-10,2.0,16.0,7.09,2.53,,,,,,,0.619,0.011,,1.12,,,2.7,29.4,42.21,2.85,4.0,533.0,8.0,,3.831,0.0111,,1.095,0.104,0.141,0.21,0.057,,,0.0115,68.2,0.114,12000.0,4300.0,0.0,,,,537.0,1.131
2,2009-02-10,3.0,27.0,7.95,5.9,,,,,,,0.619,0.71,,47.0,,,229.2,412.0,54.86,2.85,220.0,0.0,8.0,,3.831,0.0165,,1.095,0.104,0.141,5.66,0.299,,,0.0115,126.3,2.77,4600000.0,2400000.0,0.0,,,,1105.0,47.471
3,2009-02-10,4.0,19.0,7.35,0.0,,,,,,,0.619,0.024,,6.72,,,16.2,147.0,8.8,0.62,18.0,728.0,0.3,,0.363,0.0108,,1.095,0.104,0.141,0.317,0.19,,,0.0115,102.5,0.067,120000.0,75000.0,0.0,,,,746.0,6.744
4,2009-02-10,5.0,16.0,7.46,0.0,,,,,,,0.619,0.025,,12.32,,,16.6,118.0,26.82,1.3,16.0,793.0,0.2,,0.237,0.0107,,1.095,0.104,0.056,0.275,0.264,,,0.0115,95.8,0.076,43000.0,39000.0,0.0,,,,809.0,12.345
5,2009-02-10,6.0,20.0,7.95,5.9,,,,,,,0.27,0.64,,9.52,,,22.14,90.23,6.95,1.22,8.0,719.0,0.2,,0.222,0.0108,,1.095,0.104,0.141,0.271,0.173,,,0.0115,101.3,0.095,150000.0,93000.0,0.0,,,,727.0,10.43
6,2009-02-10,7.0,26.0,7.36,0.0,,,,,,,0.619,0.71,,24.08,,,167.0,365.0,54.86,1.9,220.0,716.0,8.0,,0.488,0.0109,,0.104,0.104,0.141,0.39,0.132,,,0.0115,92.4,2.77,930000.0,430000.0,0.0,,,,936.0,24.699
7,2009-02-10,8.0,26.0,7.64,4.43,,,,,,,0.255,0.04,,17.92,,,31.6,117.0,14.79,1.1,30.0,673.0,1.0,,3.831,0.0165,,1.095,0.104,0.141,5.66,0.166,,,0.0115,89.2,0.907,240000.0,150000.0,0.0,,,,703.0,18.215
8,2009-02-10,9.0,27.0,7.43,0.0,,,,,,,0.619,0.71,,11.2,,,16.4,61.6,54.86,0.77,20.0,487.0,8.0,,0.204,0.0089,,0.0085,0.104,0.141,0.194,0.171,,,0.0115,66.0,2.305,24000.0,9300.0,0.0,,,,507.0,11.2
9,2009-02-10,10.0,25.0,7.71,5.9,,,,,,,0.619,0.71,,3.92,,,18.3,51.9,19.89,0.64,30.0,447.0,8.0,,3.831,0.0115,,1.095,0.104,0.141,0.192,0.091,,,0.0115,58.8,0.094,460000.0,93000.0,0.0,,,,477.0,4.63
10,2009-02-10,11.0,23.0,7.45,0.0,,,,,,,0.457,0.014,,47.0,,,229.2,412.0,34.9,2.47,102.0,1003.0,0.5,,0.753,0.011,,1.095,0.104,0.141,0.613,0.253,,,0.0115,126.3,0.122,4600000.0,2400000.0,0.0,,,,1105.0,47.471
11,2009-02-10,12.0,19.0,7.61,0.0,,,,,,,0.498,0.71,,26.8,,,116.4,247.0,13.75,2.85,71.0,839.0,0.1,,0.868,0.0127,,1.095,0.104,0.141,0.558,0.299,,,0.0115,120.4,0.12,750000.0,430000.0,0.0,,,,910.0,27.298
12,2009-02-10,13.0,27.0,7.95,5.9,,,,,,,0.619,0.71,,47.0,,,229.2,412.0,54.86,2.85,220.0,0.0,8.0,,3.831,0.0165,,1.095,0.104,0.141,5.66,0.299,,,0.0115,126.3,2.77,4600000.0,2400000.0,0.0,,,,1105.0,47.471
13,2009-02-11,1.0,21.0,7.9,5.7,,,,,,,4.26,0.69,,5.04,,,17.7,219.6,6.59,1.88,57.0,473.0,0.1,,1.86,0.0174,,0.682,,0.089,1.829,0.075,,0.515,,59.3,3.46,24000.0,15000.0,0.0,,,,530.0,5.04
14,2009-02-11,2.0,16.0,7.2,1.9,,,,,,,4.26,0.69,,1.68,,,2.2,91.7,4.5,0.3,2.0,533.0,4.0,,2.281,0.0152,,0.682,,0.089,0.136,0.085,,0.515,,65.6,3.46,12000.0,7500.0,0.0,,,,535.0,1.68
15,2009-02-11,3.0,25.0,7.9,7.4,,,,,,,4.26,0.69,,33.04,,,216.0,434.6,30.76,1.88,157.0,0.0,4.0,,2.281,0.0215,,0.682,,0.089,1.829,0.361,,0.515,,130.2,3.46,4600000.0,2400000.0,0.0,,,,997.0,33.601
16,2009-02-11,4.0,18.0,7.39,0.0,,,,,,,0.321,0.038,,16.8,,,44.0,162.0,2.5,1.88,22.0,163.0,4.0,,0.367,0.0129,,0.682,,0.089,0.344,0.217,,0.515,,108.6,0.091,31000.0,15000.0,0.0,,,,185.0,17.159
17,2009-02-11,5.0,20.0,7.44,3.8,,,,,,,4.26,0.025,,12.88,,,8.1,103.0,2.29,1.88,9.0,782.0,4.0,,0.22,0.0124,,0.682,,0.089,0.208,0.264,,0.515,,103.4,0.05,9300.0,8300.0,0.0,,,,791.0,12.905
18,2009-02-11,6.0,16.5,7.61,6.8,,,,,,,4.26,0.534,,10.08,,,30.2,113.4,3.33,1.88,8.0,632.0,4.0,,0.219,0.0121,,0.682,,0.089,0.263,0.204,,0.515,,101.9,0.051,12000.0,7500.0,0.0,,,,640.0,14.874
19,2009-02-11,7.0,24.0,7.18,7.4,,,,,,,0.59,0.012,,30.99,,,216.0,434.6,18.31,1.88,115.0,855.0,0.7,,1.86,0.0159,,0.401,,0.058,1.402,0.164,,0.515,,124.0,3.46,2400000.0,1300000.0,0.0,,,,970.0,31.592
20,2009-02-11,8.0,24.0,7.26,0.6,,,,,,,0.27,0.69,,15.5,,,70.0,242.8,16.54,1.55,157.0,657.0,4.0,,2.281,0.0215,,0.682,,0.089,1.722,0.169,,0.515,,95.5,3.03,1500000.0,1200000.0,0.0,,,,814.0,15.77
21,2009-02-11,9.0,25.0,7.0,0.0,,,,,,,4.26,0.013,,13.08,,,13.3,90.6,6.02,0.73,12.0,488.0,4.0,,2.281,0.0125,,0.0017,,0.089,0.227,0.179,,0.515,,64.5,2.67,7500.0,4300.0,0.0,,,,500.0,13.093
22,2009-02-11,10.0,25.0,7.43,7.4,,,,,,,0.41,0.69,,2.75,,,21.4,79.4,2.12,0.71,10.0,484.0,0.1,,2.281,0.0164,,0.0036,,0.089,0.154,0.142,,0.515,,59.9,1.955,6400.0,3800.0,0.0,,,,494.0,3.85
23,2009-02-11,11.0,17.0,7.4,0.0,,,,,,,0.561,0.69,,33.04,,,196.0,400.0,30.76,0.79,78.0,666.0,4.0,,1.066,0.012,,0.682,,0.089,0.542,0.235,,0.239,,130.2,0.08,210000.0,150000.0,0.0,,,,744.0,33.601
24,2009-02-11,12.0,19.0,7.35,0.0,,,,,,,0.534,0.69,,31.36,,,122.5,313.0,2.12,0.4,79.0,918.0,0.5,,1.17,0.0125,,0.682,,0.089,0.676,0.361,,0.515,,128.0,0.086,4600000.0,2400000.0,0.0,,,,997.0,31.894
25,2009-02-11,13.0,25.0,7.9,7.4,,,,,,,4.26,0.69,,33.04,,,216.0,434.6,30.76,1.88,157.0,0.0,4.0,,2.281,0.0215,,0.682,,0.089,1.829,0.361,,0.515,,130.2,3.46,4600000.0,2400000.0,0.0,,,,997.0,33.601
26,2009-04-20,1.0,23.0,8.01,1.61,782.0,200.0,351.8,4.7,163.6,0.65,0.42,0.563,1.29,2.58,61.06,5.16,8.4,49.0,7.06,0.33,71.0,575.0,1.0,0.062,4.691,0.0136,,0.007,,,4.435,0.117,,,,68.9,0.081,24000000.0,24000000.0,0.0,25.0,9.9,,646.0,3.0
27,2009-04-20,2.0,22.0,7.37,0.0,845.0,4.0,351.8,5.1,145.4,0.97,7.54,0.563,2.58,4.5,61.55,8.8,7.62,39.2,7.87,1.07,15.0,568.0,1.0,1.61,4.691,0.0101,,0.007,,,0.173,0.151,,,,75.0,0.103,46000.0,46000.0,0.0,28.0,9.9,,583.0,4.5
